State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9480874189343026	0.04824407212360444	0.0	2.521479289159079E-5	0.0	0.0	7.102402558235542E-4	0.0	0.0	0.0029330538933776493
2	0.003491907038361745	0.9920785374583696	3.593111687783879E-4	0.0	0.0	0.0	0.003469904743731469	3.746977237842383E-5	2.5732022028300655E-5	5.371377963519847E-4
3	0.0	0.003098747957404738	0.956093636779375	0.012778110204578015	0.008694519039259583	2.1695838518665067E-4	0.017611796572566018	4.873793666109328E-4	0.0	0.0010188516950189858
4	6.305850643669546E-5	0.0	0.052512741841638955	0.9375041455330465	0.004560066502548296	0.002799491044737377	0.0022551834432347107	3.0531312835749774E-4	0.0	0.0
5	1.1097718409358214E-5	0.0	0.02508412835131256	0.0034056709346091812	0.9362096957665443	0.0332381964841804	8.650230193297264E-4	0.0	5.170325704572758E-4	6.691551551570314E-4
6	0.0	0.0	0.002101519713422341	0.0074965636074277725	0.12587959447960545	0.7951262018960173	0.011988290618775524	0.01715281101763926	0.038895716815338155	0.0013593018517741712
7	0.0018860830792980293	0.125599724703447	0.07838854510229523	0.0026411344585813923	0.0012262995457589868	0.004841655010055698	0.7055054935803271	0.07122483441685318	0.0014477979159355683	0.0072384321874479456
8	0.0	0.0036367240337783382	0.004609641151197077	7.553596042044911E-4	1.6679940339630326E-8	0.016518610858193762	0.15989258767863554	0.806140841012679	0.008075500004687477	3.7071897668372757E-4
9	0.0	0.002449074986001886	0.0016538305984485076	0.0	0.0028952108071170616	0.05546762406367835	0.003986100520789639	0.013516990926612188	0.824320256507086	0.09571091159026648
10	0.034992446799038124	0.08843445159722324	0.017927325488084414	0.0	0.005441065234313817	0.0027738751512405534	0.03549913924430254	3.933195053087665E-4	0.13106542460417225	0.6834729523763164
